time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
51300,116.0,193.0,0.14,0.33,100.0,0.16,41.0,82.0,31.0,0
51310,116.0,193.0,0.14,0.33,100.0,0.16,40.0,82.0,31.0,0
51320,116.0,193.0,0.14,0.33,100.0,0.16,48.0,82.0,31.0,0
51330,116.0,193.0,0.14,0.33,100.0,0.16,48.0,83.0,31.0,0
51340,116.0,193.0,0.14,0.33,100.0,0.16,36.0,82.0,31.0,0
51350,116.0,193.0,0.14,0.33,100.0,0.16,40.0,82.0,31.0,0
51360,116.0,193.0,0.14,0.33,100.0,0.16,46.0,82.0,31.0,0
51370,116.0,193.0,0.14,0.33,100.0,0.16,39.0,82.0,31.0,0
51380,116.0,193.0,0.14,0.33,100.0,0.16,33.0,81.0,31.0,0
51390,116.0,193.0,0.14,0.33,100.0,0.16,42.0,82.0,31.0,0
51400,116.0,193.0,0.14,0.33,100.0,0.16,52.0,84.0,31.0,0
51410,116.0,193.0,0.14,0.33,100.0,0.16,42.0,84.0,31.0,0
51420,116.0,193.0,0.14,0.33,100.0,0.16,42.0,84.0,28.0,0
51430,116.0,193.0,0.14,0.33,100.0,0.16,48.0,84.0,28.0,0
51440,116.0,193.0,0.14,0.33,100.0,0.16,42.0,84.0,28.0,0
51450,116.0,193.0,0.14,0.33,100.0,0.16,39.0,84.0,28.0,0
51460,116.0,193.0,0.14,0.33,100.0,0.16,46.0,84.0,28.0,0
51470,116.0,193.0,0.14,0.33,100.0,0.16,45.0,84.0,28.0,0
51480,116.0,193.0,0.14,0.33,100.0,0.16,38.0,84.0,24.0,0
51490,116.0,193.0,0.14,0.33,100.0,0.16,45.0,84.0,24.0,0
51500,116.0,193.0,0.14,0.33,100.0,0.16,46.0,84.0,24.0,0
59930,117.0,198.0,0.15,0.33,100.0,0.16,33.0,85.0,50.0,0
59940,117.0,198.0,0.15,0.33,100.0,0.16,27.0,85.0,45.0,0
59950,117.0,198.0,0.15,0.33,100.0,0.16,34.0,85.0,45.0,0
59960,117.0,198.0,0.15,0.33,100.0,0.16,33.0,85.0,45.0,0
59970,117.0,198.0,0.15,0.33,100.0,0.16,24.0,85.0,45.0,0
59980,117.0,198.0,0.15,0.33,100.0,0.16,26.0,84.0,45.0,0
59990,117.0,198.0,0.15,0.33,100.0,0.16,33.0,84.0,45.0,0
60000,117.0,198.0,0.15,0.33,100.0,0.16,25.0,84.0,47.0,0
60010,117.0,198.0,0.15,0.33,100.0,0.16,31.0,84.0,47.0,0
60020,117.0,198.0,0.15,0.33,100.0,0.16,37.0,85.0,47.0,0
60030,117.0,198.0,0.15,0.33,100.0,0.16,33.0,85.0,47.0,0
60040,117.0,198.0,0.15,0.33,100.0,0.16,29.0,85.0,47.0,0
60050,117.0,198.0,0.15,0.33,100.0,0.16,37.0,85.0,47.0,0
60060,117.0,198.0,0.15,0.33,100.0,0.16,33.0,85.0,39.0,0
60070,117.0,198.0,0.15,0.33,100.0,0.16,28.0,85.0,39.0,0
60080,117.0,198.0,0.15,0.33,100.0,0.16,24.0,85.0,39.0,0
60090,117.0,198.0,0.15,0.33,100.0,0.16,32.0,85.0,39.0,0
